,Kids,Online_Activity,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Income_less_than_30k,Income_from_30k_to_50k,Income_from_50k_to_75k,Income_above_75k,birth_older_than_1960,birth_from_1960_to_1975,birth_younger_than_1975,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
0,0,0.4,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,189,104,379,111,189,218
1,0,0.5,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,464,5,64,7,0,37
2,1,0.375,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,134,11,59,15,2,30
3,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,10,0,1,0,0,0
4,1,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,6,16,24,11,0,34
5,0,0.4444444444444444,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,336,130,411,240,32,43
6,0,0.5882352941176471,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,769,80,252,15,34,65
7,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,78,0,11,0,0,7
8,1,0.4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,384,0,102,21,32,5
9,1,0.4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,384,0,102,21,32,5
10,0,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,450,26,535,73,98,26
11,1,0.3333333333333333,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,140,4,61,0,13,4
12,0,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,431,82,441,80,20,102
13,0,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,3,10,8,3,16,32
14,1,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,16,4,12,2,4,321
15,1,0.2857142857142857,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,63,6,57,13,13,22
