,Kids,Online_Activity,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Income_less_than_30k,Income_from_30k_to_50k,Income_from_50k_to_75k,Income_above_75k,birth_older_than_1960,birth_from_1960_to_1975,birth_younger_than_1975
0,0,0.4,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0,0.5,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
2,1,0.375,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
3,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
4,1,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
5,0,0.4444444444444444,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
6,0,0.5882352941176471,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
8,1,0.4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
9,1,0.4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
10,0,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
11,1,0.3333333333333333,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
12,0,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
13,0,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
14,1,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
15,1,0.2857142857142857,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
16,1,0.2857142857142857,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
17,1,0.25,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
18,1,0.4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
19,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
20,1,0.5,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
21,1,0.38461538461538464,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
22,1,0.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
23,1,0.38461538461538464,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
24,1,0.5714285714285714,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
25,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
26,1,0.5294117647058824,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
27,1,0.5294117647058824,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
28,1,0.4,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
29,0,0.45454545454545453,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
30,1,0.5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
31,0,0.3076923076923077,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
32,1,0.3333333333333333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
33,1,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
34,0,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
35,0,0.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
36,0,0.13333333333333333,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
